STATE,DMEPOS RURAL ZIP CODE,YEAR/QTR
MA,01223,202402
MA,02535,202402
MA,02539,202402
MA,02552,202402
MA,02554,202402
MA,02557,202402
MA,02564,202402
MA,02568,202402
MA,02575,202402
MA,02584,202402
MA,02713,202402
NH,03046,202402
NH,03106,202402
NH,03215,202402
NH,03216,202402
NH,03217,202402
NH,03218,202402
NH,03220,202402
NH,03221,202402
NH,03222,202402
NH,03223,202402
NH,03224,202402
NH,03225,202402
NH,03226,202402
NH,03227,202402
NH,03229,202402
NH,03230,202402
NH,03231,202402
NH,03233,202402
NH,03234,202402
NH,03235,202402
NH,03237,202402
NH,03238,202402
NH,03240,202402
NH,03241,202402
NH,03242,202402
NH,03243,202402
NH,03245,202402
NH,03246,202402
NH,03247,202402
NH,03249,202402
NH,03251,202402
NH,03252,202402
NH,03253,202402
NH,03254,202402
NH,03255,202402
NH,03256,202402
NH,03257,202402
NH,03258,202402
NH,03259,202402
NH,03260,202402
NH,03262,202402
NH,03263,202402
NH,03264,202402
NH,03266,202402
NH,03268,202402
NH,03269,202402
NH,03272,202402
NH,03273,202402
NH,03275,202402
NH,03276,202402
NH,03278,202402
NH,03279,202402
NH,03280,202402
NH,03282,202402
NH,03284,202402
NH,03285,202402
NH,03287,202402
NH,03289,202402
NH,03293,202402
NH,03298,202402
NH,03299,202402
NH,03301,202402
NH,03302,202402
NH,03303,202402
NH,03304,202402
NH,03305,202402
NH,03307,202402
NH,03431,202402
NH,03435,202402
NH,03441,202402
NH,03443,202402
NH,03444,202402
NH,03445,202402
NH,03446,202402
NH,03447,202402
NH,03448,202402
NH,03450,202402
NH,03451,202402
NH,03452,202402
NH,03455,202402
NH,03456,202402
NH,03457,202402
NH,03461,202402
NH,03462,202402
NH,03464,202402
NH,03465,202402
NH,03466,202402
NH,03467,202402
NH,03469,202402
NH,03470,202402
NH,03561,202402
NH,03570,202402
NH,03574,202402
NH,03575,202402
NH,03576,202402
NH,03579,202402
NH,03580,202402
NH,03581,202402
NH,03582,202402
NH,03583,202402
NH,03584,202402
NH,03585,202402
NH,03586,202402
NH,03588,202402
NH,03589,202402
NH,03590,202402
NH,03592,202402
NH,03593,202402
NH,03595,202402
NH,03597,202402
NH,03598,202402
NH,03601,202402
NH,03602,202402
NH,03603,202402
NH,03604,202402
NH,03605,202402
NH,03607,202402
NH,03608,202402
NH,03609,202402
NH,03740,202402
NH,03741,202402
NH,03743,202402
NH,03745,202402
NH,03746,202402
NH,03748,202402
NH,03749,202402
NH,03750,202402
NH,03751,202402
NH,03752,202402
NH,03753,202402
NH,03754,202402
NH,03755,202402
NH,03756,202402
NH,03765,202402
NH,03766,202402
NH,03768,202402
NH,03769,202402
NH,03770,202402
NH,03771,202402
NH,03773,202402
NH,03774,202402
NH,03777,202402
NH,03779,202402
NH,03780,202402
NH,03781,202402
NH,03782,202402
NH,03784,202402
NH,03785,202402
NH,03809,202402
NH,03810,202402
NH,03812,202402
NH,03813,202402
NH,03814,202402
NH,03816,202402
NH,03817,202402
NH,03818,202402
NH,03830,202402
NH,03832,202402
NH,03836,202402
NH,03837,202402
NH,03838,202402
NH,03845,202402
NH,03846,202402
NH,03847,202402
NH,03849,202402
NH,03850,202402
NH,03853,202402
NH,03860,202402
NH,03864,202402
NH,03872,202402
NH,03875,202402
NH,03882,202402
NH,03883,202402
NH,03886,202402
NH,03890,202402
NH,03894,202402
NH,03896,202402
NH,03897,202402
ME,04010,202402
ME,04016,202402
ME,04022,202402
ME,04037,202402
ME,04041,202402
ME,04051,202402
ME,04068,202402
ME,04088,202402
ME,04216,202402
ME,04217,202402
ME,04219,202402
ME,04220,202402
ME,04221,202402
ME,04224,202402
ME,04225,202402
ME,04226,202402
ME,04227,202402
ME,04231,202402
ME,04234,202402
ME,04237,202402
ME,04238,202402
ME,04239,202402
ME,04255,202402
ME,04257,202402
ME,04259,202402
ME,04261,202402
ME,04262,202402
ME,04265,202402
ME,04267,202402
ME,04268,202402
ME,04270,202402
ME,04271,202402
ME,04275,202402
ME,04276,202402
ME,04281,202402
ME,04284,202402
ME,04285,202402
ME,04286,202402
ME,04289,202402
ME,04290,202402
ME,04292,202402
ME,04294,202402
ME,04330,202402
ME,04332,202402
ME,04333,202402
ME,04336,202402
ME,04338,202402
ME,04341,202402
ME,04342,202402
ME,04343,202402
ME,04344,202402
ME,04345,202402
ME,04346,202402
ME,04347,202402
ME,04348,202402
ME,04349,202402
ME,04350,202402
ME,04351,202402
ME,04352,202402
ME,04353,202402
ME,04354,202402
ME,04355,202402
ME,04358,202402
ME,04359,202402
ME,04360,202402
ME,04363,202402
ME,04364,202402
ME,04406,202402
ME,04408,202402
ME,04413,202402
ME,04414,202402
ME,04415,202402
ME,04416,202402
ME,04420,202402
ME,04421,202402
ME,04424,202402
ME,04426,202402
ME,04431,202402
ME,04438,202402
ME,04441,202402
ME,04442,202402
ME,04443,202402
ME,04451,202402
ME,04454,202402
ME,04462,202402
ME,04463,202402
ME,04464,202402
ME,04471,202402
ME,04472,202402
ME,04476,202402
ME,04478,202402
ME,04479,202402
ME,04481,202402
ME,04485,202402
ME,04490,202402
ME,04491,202402
ME,04492,202402
ME,04496,202402
ME,04497,202402
ME,04535,202402
ME,04537,202402
ME,04538,202402
ME,04539,202402
ME,04541,202402
ME,04543,202402
ME,04544,202402
ME,04547,202402
ME,04549,202402
ME,04551,202402
ME,04553,202402
ME,04554,202402
ME,04555,202402
ME,04556,202402
ME,04558,202402
ME,04563,202402
ME,04564,202402
ME,04568,202402
ME,04570,202402
ME,04571,202402
ME,04572,202402
ME,04573,202402
ME,04574,202402
ME,04575,202402
ME,04576,202402
ME,04578,202402
ME,04605,202402
ME,04606,202402
ME,04607,202402
ME,04609,202402
ME,04611,202402
ME,04612,202402
ME,04613,202402
ME,04614,202402
ME,04616,202402
ME,04617,202402
ME,04619,202402
ME,04622,202402
ME,04623,202402
ME,04624,202402
ME,04625,202402
ME,04626,202402
ME,04627,202402
ME,04628,202402
ME,04629,202402
ME,04630,202402
ME,04631,202402
ME,04634,202402
ME,04635,202402
ME,04637,202402
ME,04640,202402
ME,04642,202402
ME,04643,202402
ME,04644,202402
ME,04645,202402
ME,04646,202402
ME,04648,202402
ME,04649,202402
ME,04650,202402
ME,04652,202402
ME,04653,202402
ME,04654,202402
ME,04655,202402
ME,04657,202402
ME,04658,202402
ME,04660,202402
ME,04662,202402
ME,04664,202402
ME,04666,202402
ME,04667,202402
ME,04668,202402
ME,04669,202402
ME,04671,202402
ME,04672,202402
ME,04673,202402
ME,04674,202402
ME,04675,202402
ME,04676,202402
ME,04677,202402
ME,04679,202402
ME,04680,202402
ME,04681,202402
ME,04683,202402
ME,04684,202402
ME,04685,202402
ME,04686,202402
ME,04691,202402
ME,04693,202402
ME,04694,202402
ME,04730,202402
ME,04732,202402
ME,04733,202402
ME,04734,202402
ME,04735,202402
ME,04736,202402
ME,04737,202402
ME,04738,202402
ME,04739,202402
ME,04740,202402
ME,04741,202402
ME,04742,202402
ME,04743,202402
ME,04744,202402
ME,04745,202402
ME,04746,202402
ME,04747,202402
ME,04750,202402
ME,04751,202402
ME,04756,202402
ME,04757,202402
ME,04758,202402
ME,04760,202402
ME,04761,202402
ME,04762,202402
ME,04763,202402
ME,04764,202402
ME,04766,202402
ME,04768,202402
ME,04769,202402
ME,04772,202402
ME,04773,202402
ME,04774,202402
ME,04775,202402
ME,04776,202402
ME,04779,202402
ME,04780,202402
ME,04781,202402
ME,04783,202402
ME,04785,202402
ME,04786,202402
ME,04787,202402
ME,04841,202402
ME,04843,202402
ME,04847,202402
ME,04848,202402
ME,04849,202402
ME,04850,202402
ME,04851,202402
ME,04852,202402
ME,04853,202402
ME,04854,202402
ME,04855,202402
ME,04856,202402
ME,04858,202402
ME,04859,202402
ME,04860,202402
ME,04861,202402
ME,04862,202402
ME,04863,202402
ME,04864,202402
ME,04865,202402
ME,04901,202402
ME,04903,202402
ME,04910,202402
ME,04911,202402
ME,04912,202402
ME,04915,202402
ME,04917,202402
ME,04918,202402
ME,04920,202402
ME,04921,202402
ME,04922,202402
ME,04923,202402
ME,04924,202402
ME,04925,202402
ME,04926,202402
ME,04927,202402
ME,04929,202402
ME,04935,202402
ME,04936,202402
ME,04937,202402
ME,04938,202402
ME,04940,202402
ME,04941,202402
ME,04942,202402
