NOTE:   Deleted codes are valid for dates of service on or before the date of deletion.,,,,
NOTE:  Updated codes are in bold.,,,,
NOTE:   The jurisdiction list includes codes that are not payable by Medicare.  Please consult the Medicare,,,,
contractor in whose jurisdiction a claim would be filed in order to determine coverage under Medicare.,,,,
NOTE: All HCPCs code listed have DME or joint MAC Jurisdiction. Any other codes not listed as DME MAC only or dual DME MAC/Part B MAC ,,,,
jurisdiction shall be considered to be A/B MAC (Part B) only jurisdiction. ,,,,
HCPCS,DESCRIPTION,JURISDICTION,COMMENT,
,,,,
A4206 - A4209,"Medical, Surgical, and Self-",Part B MAC if incident to a physician's,,
,Administered Injection,"service (not separately payable).  If other,",,
,Supplies,DME MAC.,,
A4210,Needle Free Injection Device,DME MAC,,
A4211 ,"Medical, Surgical, and Self-",Part B MAC if incident to a physician's,,
,Administered Injection,"service (not separately payable).  If other,",,
,Supplies,DME MAC.,,
A4213 - A4215,"Medical , Surgical, and Self-",Part B MAC if incident to a physician's,,
,Administered Injection Supplies,"service (not separately payable).  If  other,",,
,,DME MAC.,,
A4216 - A4218,Saline,Part B MAC if incident to a physician's,,
,,"service (not separately payable).  If  other,",,
,,DME MAC.,,
A4221 - A4239,Self-Administered Injection ,DME MAC,,
,and Diabetic Supplies,,,
A4244 - A4250,"Medical, Surgical, and Self-",Part B MAC if incident to a physician's ,,
,Administered Injection Supplies,"service (not separately payable).  If other, ",,
,,DME MAC.,,
A4252 - A4259; A4271,Diabetic Supplies,DME MAC,,
,,,,
A4265,Paraffin,"Part B MAC if incident to a physician's service (not separateky payable). If other, DME MAC",,
A4280,Accessory for Breast Prosthesis,DME MAC,,
A4281 - A4287,Accessory for Breast Pump,DME MAC,,
A4305 - A4306,Disposable Drug Delivery,Part B MAC if incident to a physician's,,
,System,"service (not separately payable).  If other,",,
,,DME MAC.,,
A4310 - A4340,Incontinence Supplies/ Urinary Supplies,"Part B MAC if incident to a physician's service. If other, DME MAC.",,
A4341-A4342,Urinary Supplies,DME MAC,,
A4344 - A4358,Incontinence Supplies/ Urinary Supplies,"Part B MAC if incident to a physician's service. If other, DME MAC.",,
A4360 - A4437,Urinary Supplies,"Part B MAC if incident to a physician's service. If other, DME MAC.",,
A4450 - A4452,Tape; Adhesive Remover,Part B MAC if incident to a physician's,,
,,"service (not separately payable), or if supply for implanted prosthetic device.  If other,",,
,,DME MAC.,,
A4453,Enema Catheter,DME MAC,,
A4455 - A4456,Tape; Adhesive Remover,Part B MAC if incident to a physician's,,
,,"service (not separately payable), or if supply for implanted prosthetic device.  If other,",,
,,DME MAC.,,
A4457,Enema Tube,"Part B MAC if a supply for or inserted by a licensed healthcare provider.  If other, DME MAC",,
A4458-A4459,Enema Bag/System,DME MAC,,
A4461-A4463,Surgical Dressing Holders,Part B MAC if incident to a physician's,,
,,"service (not separately payable).  If other,",,
,,DME MAC.,,
