NOTE:   Deleted codes are valid for dates of service on or before the date of deletion.,,,
NOTE:  Updated codes are in bold.,,,
NOTE:   The jurisdiction list includes codes that are not payable by Medicare.  Please consult the Medicare,,,
contractor in whose jurisdiction a claim would be filed in order to determine coverage under Medicare.,,,
NOTE: All HCPCS codes listed have DME or joint MAC Jurisdiction. Any other codes not listed as DME MAC only or dual DME MAC/Part B MAC ,,,
jurisdiction shall be considered to be A/B MAC (Part B) only jurisdiction. ,,,
HCPCS,DESCRIPTION,JURISDICTION,COMMENT
,,,
A4206 - A4209,"Medical, Surgical, and Self-Administered Injection Supplies","Part B MAC if incident to a physician's service (not separately payable).  If other, DME MAC",
A4210,Needle Free Injection Device,DME MAC,
A4211 ,"Medical, Surgical, and Self-Administered Injection Supplies","Part B MAC if incident to a physician's service (not separately payable. If other, DME MAC",
"A4213 , A4215","Medical , Surgical, and Self-Administered Injection Supplies","Part B MAC if incident to a physician's service (not separately payable).  If  other, DME MAC",
A4216 - A4218,Saline,"Part B MAC if incident to a physician's service (not separately payable).  If  other, DME MAC",
A4221 - A4239,Self-Administered Injection and Diabetic Supplies,DME MAC,
A4244 - A4250,"Medical, Surgical, and Self-Administered Injection Supplies","Part B MAC if incident to a physician's service (not separately payable).  If  other, DME MAC",
A4252 - A4259; A4271,Diabetic Supplies,DME MAC,
A4265,Paraffin,"Part B MAC if incident to a physician's service (not separately payable). If other, DME MAC",
A4280,Accessory for Breast Prosthesis,DME MAC,
A4281 - A4288,Accessory for Breast Pump,DME MAC,
A4295-A4297,Urological Supplies,"Part B MAC if incident to a physician's service. If other, DME MAC.",
"A4305 , A4306",Disposable Drug Delivery System,"Part B MAC if incident to a physician's service (not separately payable).  If other, DME MAC",
A4310 - A4340,Incontinence Supplies/ Urinary Supplies,"Part B MAC if incident to a physician's service. If other, DME MAC.",
"A4341, A4342",Urinary Supplies,DME MAC,
A4344 - A4358,Incontinence Supplies/ Urinary Supplies,"Part B MAC if incident to a physician's service. If other, DME MAC.",
A4360 - A4437,Urinary Supplies,"Part B MAC if incident to a physician's service. If other, DME MAC.",
"A4450 , A4452",Tape; Adhesive Remover,"Part B MAC if incident to a physician'sservice (not separately payable), or if supply for implanted prosthetic device.  If other, DME MAC",
A4453,Rectal Catheter,DME MAC,
"A4455 , A4456",Tape; Adhesive Remover,"Part B MAC if incident to a physician's service (not separately payable), or if supply for implanted prosthetic device.  If other, DME MAC",
A4457,Enema Tube,"Part B MAC if a supply for or inserted by a licensed healthcare provider.  If other, DME MAC",
"A4458, A4459",Bowel Management,DME MAC,
"A4461, A4463",Surgical Dressing Holders,"Part B MAC if incident to a physician's service (not separately payable).  If other, DME MAC",
"A4465 - A4468, A4479","Non-elastic Binder and Garment, Strap, Covering, Exsufflation Belt, Bowel Management",DME MAC,
A4481,Tracheostomy Supply,"Part B MAC if incident to a physician's service (not separately payable). If other, DME MAC",
A4483,Moisture Exchanger,DME MAC,
A4490 - A4510,Surgical Stockings,DME MAC,
A4520,Diapers,DME MAC,
A4540 - A4545,Stimulator and Supplies,DME MAC,
"A4553 , A4554",Underpads,DME MAC,
A4555 - A4558,Electrodes; Lead Wires; Conductive Paste,"Part B MAC if incident to a physician's service (not separately payable). If other, DME MAC",
A4559                 ,Coupling Gel,"Part B MAC if incident to a physician's service (not separately payable).  If other, DME MAC.",
A4560,Disposable NMES,DME MAC,
A4575,"Topical Hyperbaric Oxygen Chamber, Disposable",DME MAC,
"A4593, A4594",Stimulator and Supplies,DME MAC,
A4595,TENS Supplies,"Part B MAC if incident to a physician's service (not separately payable. If other, DME MAC",
A4596,Electrical Stimulator Supplies,DME MAC,
A4600,Sleeve for Intermittent Limb Compression Device,DME MAC,
"A4601, A4602",Lithium Replacement Batteries ,DME MAC,
A4604,Tubing for Positive Airway Pressure Device,DME MAC,
A4605,Tracheal Suction Catheter,DME MAC,
A4606,Oxygen Probe for Oximeter,DME MAC,
A4608,Transtracheal Oxygen Catheter,DME MAC,
A4611 - A4613,Oxygen Equipment Batteries and Supplies,DME MAC,
