"Durable Medical Equipment,"																																																																																																																																							
"Prosthetics, Orthotics, and Supplies"																																																																																																																																							
(DMEPOS)																																																																																																																																							
October 2024 Former CBA Fee Schedule 																																																																																																																																							
																																																																																																																																							
Note:  the CBA labels are the short CBA names.  Please refer to the Former CBA Zip Code file for the full CBA names.																																																																																																																																							
HCPCS	Mod	Mod2	Mod3	CATG	"Aiken County, SC"	"Akron, OH"	"Albany, NY"	"Albuquerque, NM"	"Allentown, PA"	"Arlington, VA"	"Asheville, NC"	"Atlanta, GA"	"Augusta County, GA"	"Aurora, IL"	"Austin, TX"	"Bakersfield, CA"	"Baltimore, MD"	"Baton Rouge, LA"	"Beaumont, TX"	"Birmingham, AL"	"Boise City, ID"	"Boston, MA"	"Bridgeport, CT"	"Bristol County, MA"	"Bronx, NY"	"Buffalo, NY"	"Calvert County, MD"	"Camden, NJ"	"Cape Coral, FL"	"Catoosa County, GA"	"Charleston, SC"	"Charlotte, NC"	"Chattanooga, TN"	"Chester County, SC"	"Chicago, IL"	"Cincinnati, OH"	"Cleveland, OH"	"Colorado Springs, CO"	"Columbia, SC"	"Columbus, OH"	"Council Bluffs, IA"	"Covington, KY"	"Dallas, TX"	"Dayton, OH"	"Dearborn County, IN"	"Deltona, FL"	"Denver, CO"	"Detroit, MI"	"East St. Louis, IL"	"El Paso, TX"	"Elizabeth, NJ"	"Flint, MI"	"Fresno, CA"	"Gary, IN"	"Grand Rapids, MI"	"Greensboro, NC"	"Greenville, SC"	"Hartford, CT"	"Honolulu, HI"	"Houston, TX"	"Huntington, WV"	"Indianapolis, IN"	"Jackson, MS"	"Jacksonville, FL"	"Jeffersonville, IN"	"Jersey City, NJ"	"Kansas City, KS"	"Kansas City, MO"	"Kenosha County, WI"	"Knoxville, TN"	"Lake County, IL"	"Lakeland, FL"	"Las Vegas, NV"	"Little Rock, AR"	"Los Angeles County, CA"	"Louisville County, KY"	"McAllen, TX"	"Memphis, TN"	"Mercer County, PA"	"Miami, FL"	"Milwaukee, WI"	"Minneapolis, MN"	"Nashville, TN"	"Nassau County, NY"	"New Haven, CT"	"New Orleans, LA"	"North Port, FL"	"Ocala, FL"	"Oklahoma City, OK"	"Omaha, NE"	"Orange County, CA"	"Orlando, FL"	"Oxnard, CA"	"Palm Bay, FL"	"Philadelphia, PA"	"Phoenix, AZ"	"Pierce County, WI"	"Pittsburgh, PA"	"Port Chester, NY"	"Portland, OR"	"Poughkeepsie, NY"	"Providence, RI"	"Raleigh, NC"	"Richmond, VA"	"Riverside, CA"	"Rochester, NY"	"Rockingham County, NH"	"Sacramento, CA"	"Salt Lake City, UT"	"San Antonio, TX"	"San Diego, CA"	"San Francisco, CA"	"San Jose, CA"	"Scranton, PA"	"Seattle, WA"	"Silver Spring, MD"	"South Haven, MS"	"Springfield, MA"	"St. Louis, MO"	"Stockton, CA"	"Suffolk County, NY"	"Syracuse, NY"	"Tampa, FL"	"Toledo, OH"	"Tucson, AZ"	"Tulsa, OK"	"Vancouver, WA"	"Virginia Beach, VA"	"Visalia, CA"	"Washington, DC"	"Wichita, KS"	"Wilmington, DE"	"Worcester, MA"	"Youngstown, OH"	Description
A4557	KG			SU	11.52	16.05	11.42	11.47	11.47	15.53	11.35	11.47	11.42	11.42	11.47	11.71	13.46	11.52	11.47	11.71	11.47	11.77	13.99	11.47	11.35	11.42	14.76	11.47	11.35	11.47	11.71	14.47	15.47	9.71	11.47	14.76	16.60	11.47	11.52	11.35	11.42	12.14	9.71	16.54	9.71	11.35	11.42	11.52	11.42	11.47	11.47	11.71	11.71	9.71	11.71	11.52	11.52	13.99	11.71	11.42	11.47	11.71	11.35	11.35	10.55	11.71	9.71	14.23	11.35	19.39	11.42	11.35	11.52	11.52	11.52	11.35	11.42	23.81	11.42	11.52	11.42	11.42	23.32	11.42	14.45	11.52	11.35	11.35	11.47	11.42	11.71	11.75	11.71	11.51	11.47	12.58	11.42	11.52	11.47	11.47	11.47	11.47	11.35	14.76	14.56	11.47	11.71	11.71	11.52	11.47	11.70	11.52	11.71	11.47	11.47	14.76	11.52	11.47	11.47	11.71	11.47	11.47	11.35	14.98	11.52	11.47	11.47	15.59	11.71	11.47	11.52	11.47	11.47	16.05	"Lead wires, pair"
A4595	KG			SU	12.03	13.62	11.34	12.54	12.54	12.56	11.66	12.42	11.42	11.66	12.54	10.28	12.29	11.34	12.42	12.93	12.54	11.99	12.74	12.54	10.28	11.42	13.08	12.54	12.22	12.54	12.54	11.66	16.59	11.42	12.42	11.66	13.35	12.54	12.03	10.89	11.34	11.66	11.66	13.22	11.65	12.14	12.03	11.66	11.71	12.54	12.54	12.14	10.28	10.89	12.42	11.56	12.03	12.74	9.71	11.34	12.54	12.93	10.65	12.14	10.59	12.33	11.36	11.66	10.89	16.06	11.71	12.14	10.99	11.34	11.23	10.89	11.42	19.85	12.03	11.66	11.66	11.66	20.28	11.42	12.56	11.34	10.28	12.14	12.42	11.34	10.28	11.66	10.28	12.43	12.42	12.93	11.42	11.66	12.54	12.54	12.54	12.54	11.66	12.56	8.40	12.54	10.28	10.28	12.03	12.42	11.42	10.98	10.28	12.54	12.54	12.56	11.34	12.54	12.54	10.28	12.42	12.54	12.14	13.22	11.34	12.54	12.54	13.02	10.28	12.54	11.34	12.54	12.54	13.62	Tens suppl 2 lead per month
A4604	NU			IN	46.42	46.07	48.68	48.56	47.56	46.13	48.56	46.54	44.06	47.55	45.89	48.56	49.75	47.73	47.34	48.74	48.56	49.76	48.45	50.68	47.68	48.37	47.67	48.05	47.54	41.33	47.08	46.13	45.89	43.44	48.56	44.60	46.07	47.73	47.32	48.60	47.17	44.50	45.27	48.56	44.50	47.59	47.78	46.89	46.53	46.13	43.95	47.75	47.83	48.88	48.53	45.33	48.02	48.56	48.51	48.09	48.56	47.34	46.23	47.59	48.14	46.07	44.40	46.13	48.56	48.02	47.55	48.19	50.42	48.02	48.56	46.47	45.27	46.23	47.95	48.56	48.68	48.56	48.02	47.59	48.56	44.40	47.73	48.02	47.46	46.23	48.56	47.34	47.11	47.59	47.34	48.70	48.56	46.13	46.73	48.26	48.37	51.76	49.34	46.44	46.13	48.56	50.63	47.36	47.77	44.40	47.83	48.56	46.62	48.24	48.56	47.67	46.23	50.12	48.56	47.11	47.56	45.33	46.70	43.43	48.56	47.65	48.41	46.13	48.56	46.34	46.13	46.71	49.76	46.07	Tubing with heating element
A4640	NU			IN	59.35	60.69	66.75	72.50	57.64	71.40	62.94	64.47	60.69	68.24	56.32	55.22	59.47	49.06	56.32	51.28	54.74	67.39	76.78	74.87	59.21	67.80	60.91	64.46	47.14	68.24	58.00	61.90	73.05	70.40	68.24	56.51	56.45	59.71	58.00	60.69	72.78	60.69	53.41	60.69	61.02	50.40	60.34	68.60	72.83	58.00	59.14	71.78	55.22	70.54	71.78	69.22	58.00	68.24	74.05	59.35	72.83	72.34	53.07	51.81	68.24	54.63	57.67	58.26	71.96	73.05	67.51	49.76	60.69	58.00	47.65	68.24	58.00	73.05	70.70	47.11	68.24	59.35	73.67	46.63	72.51	50.62	51.62	52.50	52.46	69.83	46.76	49.76	47.58	50.40	51.51	52.19	71.40	60.69	51.51	58.00	60.69	72.83	61.52	71.40	56.91	68.44	70.58	54.63	76.88	51.25	48.56	55.22	48.56	58.39	66.79	60.91	56.32	68.45	59.49	54.63	46.62	70.80	49.76	69.56	72.50	65.28	66.79	71.96	58.04	63.72	68.72	62.69	72.77	58.43	Alternating pressure pad
A4640	RR			IN	5.94	6.06	6.68	7.24	5.77	7.14	6.30	6.45	6.06	6.82	5.64	5.52	5.95	4.91	5.64	5.12	5.47	6.73	7.68	7.49	5.93	6.79	6.10	6.45	4.72	6.82	5.80	6.19	7.32	7.04	6.82	5.66	5.65	5.98	5.80	6.06	7.30	6.06	5.34	6.06	6.11	5.03	6.03	6.86	7.30	5.80	5.92	7.17	5.52	7.05	7.17	6.91	5.80	6.82	7.40	5.94	7.30	7.22	5.30	5.19	6.82	5.46	5.77	5.82	7.19	7.32	6.74	4.98	6.06	5.80	4.77	6.82	5.80	7.32	7.07	4.72	6.82	5.94	7.37	4.65	7.24	5.06	5.16	5.26	5.25	6.98	4.67	4.98	4.76	5.03	5.15	5.23	7.14	6.06	5.15	5.80	6.06	7.30	6.15	7.14	5.69	6.85	7.05	5.46	7.68	5.12	4.85	5.52	4.85	5.83	6.68	6.10	5.64	6.85	5.95	5.46	4.65	7.08	4.98	6.96	7.24	6.52	6.68	7.19	5.80	6.37	6.87	6.27	7.30	5.83	Alternating pressure pad
A4640	UE			IN	44.52	45.52	50.08	54.38	43.24	53.56	47.20	48.35	45.52	51.19	42.25	41.42	44.60	36.80	42.25	38.45	41.07	50.54	57.58	56.14	44.40	50.85	45.69	48.35	35.36	51.19	43.50	46.43	54.78	52.81	51.19	42.38	42.33	44.78	43.50	45.52	54.58	45.52	40.05	45.52	45.77	37.80	45.26	51.46	54.63	43.50	44.35	53.84	41.42	52.90	53.84	51.91	43.50	51.19	55.55	44.52	54.63	54.25	39.80	38.86	51.19	40.96	43.25	43.69	53.98	54.78	50.63	37.32	45.52	43.50	35.76	51.19	43.50	54.78	53.02	35.35	51.19	44.52	55.25	34.97	54.39	37.97	38.70	39.37	39.34	52.37	35.09	37.32	35.69	37.80	38.64	39.14	53.56	45.52	38.64	43.50	45.52	54.63	46.14	53.56	42.69	51.33	52.93	40.96	57.68	38.44	36.42	41.42	36.42	43.80	50.10	45.69	42.25	51.33	44.61	40.96	34.96	53.09	37.32	52.17	54.38	48.95	50.10	53.98	43.55	47.80	51.53	47.00	54.57	43.83	Alternating pressure pad
A6550				SU	30.42	30.35	30.27	29.28	30.31	30.20	30.47	29.75	30.31	30.05	29.28	29.25	30.20	29.29	30.05	29.91	30.31	29.13	29.13	30.31	29.74	30.59	30.20	30.35	27.42	30.66	30.35	30.17	30.65	31.26	29.74	30.53	30.28	28.60	30.35	30.22	29.28	30.61	30.05	30.35	30.53	28.35	28.60	30.35	29.89	29.28	30.15	30.35	30.05	30.35	29.88	30.21	30.35	29.25	28.59	29.37	30.82	30.35	30.20	29.13	30.35	29.71	31.03	30.53	30.35	30.81	30.15	28.13	30.82	30.05	30.20	30.35	29.67	30.52	30.31	25.90	30.27	30.35	30.66	29.59	31.33	29.59	28.52	28.52	27.92	29.28	30.35	26.41	29.81	27.42	30.15	30.82	30.35	30.20	30.05	28.35	30.20	29.25	30.82	30.20	31.03	30.35	30.82	29.28	30.35	30.35	28.74	30.35	30.20	29.40	28.50	30.20	30.21	30.59	30.05	29.81	29.59	30.15	29.25	30.35	30.82	29.80	28.35	30.82	29.81	30.27	30.35	30.31	30.35	30.35	Neg pres wound ther drsg set
A7000	NU	KG		IN	10.51	10.43	8.89	9.63	9.65	9.71	10.07	10.02	10.90	9.83	9.60	9.64	9.78	10.13	9.60	10.48	10.78	8.93	9.00	9.90	9.27	9.09	9.78	9.59	8.99	10.67	10.51	10.30	10.44	10.51	9.83	10.12	10.20	10.20	10.51	9.83	9.63	10.29	9.71	10.20	10.12	9.11	9.95	10.26	9.37	9.52	9.09	10.26	9.64	9.91	10.10	10.14	10.51	9.11	8.74	9.65	9.83	9.94	10.19	8.97	9.94	9.09	10.49	10.46	10.13	10.51	9.83	8.96	11.05	10.19	8.91	10.03	9.57	10.50	9.65	8.55	9.71	9.83	10.64	8.84	10.19	10.33	9.06	9.18	9.12	9.63	8.80	8.68	10.34	9.11	9.61	11.05	9.71	9.61	8.84	9.37	8.89	9.11	10.51	9.71	10.49	9.11	9.65	9.94	10.51	10.51	9.57	10.51	9.89	9.59	9.64	9.79	10.50	10.10	9.94	10.19	8.89	8.94	9.11	10.20	11.05	10.72	9.37	9.86	9.91	9.71	9.94	9.41	10.07	10.43	Disposable canister for pump
A7003	NU			IN	1.93	1.69	1.79	1.83	1.83	1.73	1.70	1.73	1.52	1.83	2.12	1.83	1.69	1.70	1.83	2.00	2.11	1.83	1.70	1.83	1.75	1.76	1.69	1.79	1.70	1.58	1.70	1.75	2.04	1.76	1.79	1.69	1.62	1.58	1.86	1.79	1.76	1.69	1.82	1.77	1.68	1.73	1.66	1.68	1.83	1.66	1.76	2.12	1.83	1.77	2.19	1.77	1.77	1.77	1.70	2.04	1.76	1.76	1.77	1.83	1.82	1.76	1.79	1.77	1.76	2.17	1.83	1.73	1.82	1.77	2.01	1.83	1.66	2.08	1.66	1.76	1.79	1.79	2.12	1.84	1.70	1.55	1.79	1.79	1.83	1.83	1.83	1.76	1.66	1.79	1.83	1.77	1.76	1.70	1.76	1.83	1.79	1.79	1.70	1.70	1.77	1.79	1.84	1.91	1.70	1.99	1.83	1.91	1.66	1.83	1.79	1.57	1.70	1.79	2.04	1.66	1.79	1.79	1.79	1.69	1.70	1.79	1.76	1.81	1.91	1.76	1.77	1.79	1.79	1.70	Nebulizer administration set
A7004	NU			IN	1.53	1.48	1.50	1.34	1.51	1.52	1.51	1.50	1.35	1.51	1.52	1.52	1.47	1.52	1.51	1.40	1.47	1.51	1.37	1.51	1.51	1.48	1.48	1.51	1.35	1.43	1.51	1.52	1.82	1.52	1.51	1.55	1.43	1.34	1.55	1.51	1.48	1.48	1.51	1.48	1.46	1.40	1.40	1.53	1.51	1.51	1.37	1.55	1.52	1.55	1.55	1.55	1.52	1.47	1.55	1.51	1.51	1.55	1.51	1.52	1.47	1.37	1.51	1.46	1.35	1.82	1.51	1.46	1.46	1.53	1.52	1.52	1.51	1.57	1.51	1.35	1.43	1.50	1.51	1.51	1.44	1.51	1.46	1.51	1.51	1.51	1.51	1.38	1.51	1.51	1.51	1.44	1.51	1.35	1.52	1.51	1.51	1.50	1.55	1.52	1.48	1.50	1.48	1.51	1.52	1.51	1.52	1.52	1.51	1.51	1.50	1.48	1.52	1.50	1.51	1.51	1.51	1.50	1.46	1.53	1.48	1.50	1.51	1.55	1.52	1.51	1.53	1.51	1.50	1.44	Disposable nebulizer sml vol
