2024 Parenteral and Enteral Nutrition  Items and Services (PEN) Fee Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*** Non-contiguous areas ***,,,,
January 2024 Fee Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCPCS,MOD,MOD2,AL(NR),AL(R),AR(NR),AR(R),AZ(NR),AZ(R),CA(NR),CA(R),CO(NR),CO(R),CT(NR),CT(R),DC(NR),DC(R),DE(NR),DE(R),FL(NR),FL(R),GA(NR),GA(R),IA(NR),IA(R),ID(NR),ID(R),IL(NR),IL(R),IN(NR),IN(R),KS(NR),KS(R),KY(NR),KY(R),LA(NR),LA(R),MA(NR),MA(R),MD(NR),MD(R),ME(NR),ME(R),MI(NR),MI(R),MN(NR),MN(R),MO(NR),MO(R),MS(NR),MS(R),MT(NR),MT(R),NC(NR),NC(R),ND(NR),ND(R),NE(NR),NE(R),NH(NR),NH(R),NJ(NR),NJ(R),NM(NR),NM(R),NV(NR),NV(R),NY(NR),NY(R),OH(NR),OH(R),OK(NR),OK(R),OR(NR),OR(R),PA(NR),PA(R),RI(NR),RI(R),SC(NR),SC(R),SD(NR),SD(R),TN(NR),TN(R),TX(NR),TX(R),UT(NR),UT(R),VA(NR),VA(R),VT(NR),VT(R),WA(NR),WA(R),WI(NR),WI(R),WV(NR),WV(R),WY(NR),WY(R),AK(NR),AK(R),HI(NR),HI(R),PR(NR),PR(R),VI(NR),VI(R),Desc
B4034,,,3.73,5.88,3.73,5.88,3.66,5.88,3.62,5.88,3.80,5.88,3.72,5.88,3.63,5.88,3.63,5.88,3.73,5.88,3.73,5.88,3.65,5.88,3.80,5.88,3.64,5.88,3.64,5.88,3.65,5.88,3.73,5.88,3.73,5.88,3.72,5.88,3.63,5.88,3.72,5.88,3.64,5.88,3.65,5.88,3.65,5.88,3.73,5.88,3.80,5.88,3.73,5.88,3.65,5.88,3.65,5.88,3.72,5.88,3.63,5.88,3.66,5.88,3.62,5.88,3.63,5.88,3.64,5.88,3.66,5.88,3.62,5.88,3.63,5.88,3.72,5.88,3.73,5.88,3.65,5.88,3.73,5.88,3.66,5.88,3.80,5.88,3.73,5.88,3.72,5.88,3.62,5.88,3.64,5.88,3.73,5.88,3.80,5.88,5.88,0.00,5.88,0.00,5.88,0.00,5.88,0.00,Enter feed supkit syr by day
B4035,,,6.71,10.85,6.71,10.85,6.27,10.85,6.14,10.85,6.75,10.85,5.95,10.85,5.87,10.85,5.87,10.85,6.71,10.85,6.71,10.85,6.48,10.85,6.75,10.85,6.42,10.85,6.42,10.85,6.48,10.85,6.71,10.85,6.71,10.85,5.95,10.85,5.87,10.85,5.95,10.85,6.42,10.85,6.48,10.85,6.48,10.85,6.71,10.85,6.75,10.85,6.71,10.85,6.48,10.85,6.48,10.85,5.95,10.85,5.87,10.85,6.27,10.85,6.14,10.85,5.87,10.85,6.42,10.85,6.27,10.85,6.14,10.85,5.87,10.85,5.95,10.85,6.71,10.85,6.48,10.85,6.71,10.85,6.27,10.85,6.75,10.85,6.71,10.85,5.95,10.85,6.14,10.85,6.42,10.85,6.71,10.85,6.75,10.85,11.16,0.00,11.16,0.00,11.16,0.00,11.16,0.00,Enteral feed supp pump per d
B4036,,,5.15,7.81,5.15,7.81,4.93,7.81,4.94,7.81,5.09,7.81,5.10,7.81,4.95,7.81,4.95,7.81,5.15,7.81,5.15,7.81,5.01,7.81,5.09,7.81,4.97,7.81,4.97,7.81,5.01,7.81,5.15,7.81,5.15,7.81,5.10,7.81,4.95,7.81,5.10,7.81,4.97,7.81,5.01,7.81,5.01,7.81,5.15,7.81,5.09,7.81,5.15,7.81,5.01,7.81,5.01,7.81,5.10,7.81,4.95,7.81,4.93,7.81,4.94,7.81,4.95,7.81,4.97,7.81,4.93,7.81,4.94,7.81,4.95,7.81,5.10,7.81,5.15,7.81,5.01,7.81,5.15,7.81,4.93,7.81,5.09,7.81,5.15,7.81,5.10,7.81,4.94,7.81,4.97,7.81,5.15,7.81,5.09,7.81,7.85,0.00,7.85,0.00,7.85,0.00,7.85,0.00,Enteral feed sup kit grav by
B4081,,,18.19,23.80,18.19,23.80,17.95,23.80,19.04,23.80,18.59,23.80,19.11,23.80,19.28,23.80,19.28,23.80,18.19,23.80,18.19,23.80,17.98,23.80,18.59,23.80,18.24,23.80,18.24,23.80,17.98,23.80,18.19,23.80,18.19,23.80,19.11,23.80,19.28,23.80,19.11,23.80,18.24,23.80,17.98,23.80,17.98,23.80,18.19,23.80,18.59,23.80,18.19,23.80,17.98,23.80,17.98,23.80,19.11,23.80,19.28,23.80,17.95,23.80,19.04,23.80,19.28,23.80,18.24,23.80,17.95,23.80,19.04,23.80,19.28,23.80,19.11,23.80,18.19,23.80,17.98,23.80,18.19,23.80,17.95,23.80,18.59,23.80,18.19,23.80,19.11,23.80,19.04,23.80,18.24,23.80,18.19,23.80,18.59,23.80,23.80,0.00,23.80,0.00,23.80,0.00,23.80,0.00,Enteral ng tubing w/ stylet
B4082,,,13.31,17.41,13.31,17.41,12.68,17.41,13.43,17.41,13.20,17.41,13.28,17.41,13.76,17.41,13.76,17.41,13.31,17.41,13.31,17.41,13.24,17.41,13.20,17.41,12.86,17.41,12.86,17.41,13.24,17.41,13.31,17.41,13.31,17.41,13.28,17.41,13.76,17.41,13.28,17.41,12.86,17.41,13.24,17.41,13.24,17.41,13.31,17.41,13.20,17.41,13.31,17.41,13.24,17.41,13.24,17.41,13.28,17.41,13.76,17.41,12.68,17.41,13.43,17.41,13.76,17.41,12.86,17.41,12.68,17.41,13.43,17.41,13.76,17.41,13.28,17.41,13.31,17.41,13.24,17.41,13.31,17.41,12.68,17.41,13.20,17.41,13.31,17.41,13.28,17.41,13.43,17.41,12.86,17.41,13.31,17.41,13.20,17.41,17.41,0.00,17.41,0.00,17.41,0.00,17.41,0.00,Enteral ng tubing w/o stylet
B4083,,,2.00,2.64,2.00,2.64,1.96,2.64,1.97,2.64,2.06,2.64,1.94,2.64,2.06,2.64,2.06,2.64,2.00,2.64,2.00,2.64,1.94,2.64,2.06,2.64,1.90,2.64,1.90,2.64,1.94,2.64,2.00,2.64,2.00,2.64,1.94,2.64,2.06,2.64,1.94,2.64,1.90,2.64,1.94,2.64,1.94,2.64,2.00,2.64,2.06,2.64,2.00,2.64,1.94,2.64,1.94,2.64,1.94,2.64,2.06,2.64,1.96,2.64,1.97,2.64,2.06,2.64,1.90,2.64,1.96,2.64,1.97,2.64,2.06,2.64,1.94,2.64,2.00,2.64,1.94,2.64,2.00,2.64,1.96,2.64,2.06,2.64,2.00,2.64,1.94,2.64,1.97,2.64,1.90,2.64,2.00,2.64,2.06,2.64,2.64,0.00,2.64,0.00,2.64,0.00,2.64,0.00,Enteral stomach tube levine
B4087,,,31.49,40.27,31.49,40.27,32.05,40.27,35.58,40.27,34.13,40.27,34.78,40.27,30.55,40.27,30.55,40.27,31.49,40.27,31.49,40.27,30.52,40.27,34.13,40.27,31.79,40.27,31.79,40.27,30.52,40.27,31.49,40.27,31.49,40.27,34.78,40.27,30.55,40.27,34.78,40.27,31.79,40.27,30.52,40.27,30.52,40.27,31.49,40.27,34.13,40.27,31.49,40.27,30.52,40.27,30.52,40.27,34.78,40.27,30.55,40.27,32.05,40.27,35.58,40.27,30.55,40.27,31.79,40.27,32.05,40.27,35.58,40.27,30.55,40.27,34.78,40.27,31.49,40.27,30.52,40.27,31.49,40.27,32.05,40.27,34.13,40.27,31.49,40.27,34.78,40.27,35.58,40.27,31.79,40.27,31.49,40.27,34.13,40.27,40.27,0.00,40.27,0.00,40.27,0.00,40.27,0.00,"Gastro/jejuno tube, std"
B4088,,,35.95,43.29,35.95,43.29,37.63,43.29,40.26,43.29,41.21,43.29,41.63,43.29,36.46,43.29,36.46,43.29,35.95,43.29,35.95,43.29,35.89,43.29,41.21,43.29,36.69,43.29,36.69,43.29,35.89,43.29,35.95,43.29,35.95,43.29,41.63,43.29,36.46,43.29,41.63,43.29,36.69,43.29,35.89,43.29,35.89,43.29,35.95,43.29,41.21,43.29,35.95,43.29,35.89,43.29,35.89,43.29,41.63,43.29,36.46,43.29,37.63,43.29,40.26,43.29,36.46,43.29,36.69,43.29,37.63,43.29,40.26,43.29,36.46,43.29,41.63,43.29,35.95,43.29,35.89,43.29,35.95,43.29,37.63,43.29,41.21,43.29,35.95,43.29,41.63,43.29,40.26,43.29,36.69,43.29,35.95,43.29,41.21,43.29,44.54,0.00,44.54,0.00,44.54,0.00,44.54,0.00,"Gastro/jejuno tube, low-pro"
B4149,,,1.23,1.66,1.23,1.66,1.21,1.66,1.26,1.66,1.23,1.66,1.21,1.66,1.20,1.66,1.20,1.66,1.23,1.66,1.23,1.66,1.21,1.66,1.23,1.66,1.19,1.66,1.19,1.66,1.21,1.66,1.23,1.66,1.23,1.66,1.21,1.66,1.20,1.66,1.21,1.66,1.19,1.66,1.21,1.66,1.21,1.66,1.23,1.66,1.23,1.66,1.23,1.66,1.21,1.66,1.21,1.66,1.21,1.66,1.20,1.66,1.21,1.66,1.26,1.66,1.20,1.66,1.19,1.66,1.21,1.66,1.26,1.66,1.20,1.66,1.21,1.66,1.23,1.66,1.21,1.66,1.23,1.66,1.21,1.66,1.23,1.66,1.23,1.66,1.21,1.66,1.26,1.66,1.19,1.66,1.23,1.66,1.23,1.66,1.66,0.00,1.66,0.00,1.66,0.00,1.66,0.00,Ef blenderized foods
B4150,,,0.46,0.68,0.46,0.68,0.45,0.68,0.45,0.68,0.46,0.68,0.45,0.68,0.44,0.68,0.44,0.68,0.46,0.68,0.46,0.68,0.45,0.68,0.46,0.68,0.45,0.68,0.45,0.68,0.45,0.68,0.46,0.68,0.46,0.68,0.45,0.68,0.44,0.68,0.45,0.68,0.45,0.68,0.45,0.68,0.45,0.68,0.46,0.68,0.46,0.68,0.46,0.68,0.45,0.68,0.45,0.68,0.45,0.68,0.44,0.68,0.45,0.68,0.45,0.68,0.44,0.68,0.45,0.68,0.45,0.68,0.45,0.68,0.44,0.68,0.45,0.68,0.46,0.68,0.45,0.68,0.46,0.68,0.45,0.68,0.46,0.68,0.46,0.68,0.45,0.68,0.45,0.68,0.45,0.68,0.46,0.68,0.46,0.68,0.68,0.00,0.68,0.00,0.68,0.00,0.68,0.00,Ef complet w/intact nutrient
