STATE,DMEPOS RURAL ZIP CODE,YEAR/QTR
MA,01223,202502
MA,02535,202502
MA,02539,202502
MA,02552,202502
MA,02554,202502
MA,02557,202502
MA,02564,202502
MA,02568,202502
MA,02575,202502
MA,02584,202502
MA,02713,202502
NH,03046,202502
NH,03106,202502
NH,03215,202502
NH,03216,202502
NH,03217,202502
NH,03218,202502
NH,03220,202502
NH,03221,202502
NH,03222,202502
NH,03223,202502
NH,03224,202502
NH,03225,202502
NH,03226,202502
NH,03227,202502
NH,03229,202502
NH,03230,202502
NH,03231,202502
NH,03233,202502
NH,03234,202502
NH,03235,202502
NH,03237,202502
NH,03238,202502
NH,03240,202502
NH,03241,202502
NH,03242,202502
NH,03243,202502
NH,03245,202502
NH,03246,202502
NH,03247,202502
NH,03249,202502
NH,03251,202502
NH,03252,202502
NH,03253,202502
NH,03254,202502
NH,03255,202502
NH,03256,202502
NH,03257,202502
NH,03258,202502
NH,03259,202502
NH,03260,202502
NH,03262,202502
NH,03263,202502
NH,03264,202502
NH,03266,202502
NH,03268,202502
NH,03269,202502
NH,03272,202502
NH,03273,202502
NH,03275,202502
NH,03276,202502
NH,03278,202502
NH,03279,202502
NH,03280,202502
NH,03282,202502
NH,03284,202502
NH,03285,202502
NH,03287,202502
NH,03289,202502
NH,03293,202502
NH,03298,202502
NH,03299,202502
NH,03301,202502
NH,03302,202502
NH,03303,202502
NH,03304,202502
NH,03305,202502
NH,03307,202502
NH,03431,202502
NH,03435,202502
NH,03441,202502
NH,03443,202502
NH,03444,202502
NH,03445,202502
NH,03446,202502
NH,03447,202502
NH,03448,202502
NH,03450,202502
NH,03451,202502
NH,03452,202502
NH,03455,202502
NH,03456,202502
NH,03457,202502
NH,03461,202502
NH,03462,202502
NH,03464,202502
NH,03465,202502
NH,03466,202502
NH,03467,202502
NH,03469,202502
NH,03470,202502
NH,03561,202502
NH,03570,202502
NH,03574,202502
NH,03575,202502
NH,03576,202502
NH,03579,202502
NH,03580,202502
NH,03581,202502
NH,03582,202502
NH,03583,202502
NH,03584,202502
NH,03585,202502
NH,03586,202502
NH,03588,202502
NH,03589,202502
NH,03590,202502
NH,03592,202502
NH,03593,202502
NH,03595,202502
NH,03597,202502
NH,03598,202502
NH,03601,202502
NH,03602,202502
NH,03603,202502
NH,03604,202502
NH,03605,202502
NH,03607,202502
NH,03608,202502
NH,03609,202502
NH,03740,202502
NH,03741,202502
NH,03743,202502
NH,03745,202502
NH,03746,202502
NH,03748,202502
NH,03749,202502
NH,03750,202502
NH,03751,202502
NH,03752,202502
NH,03753,202502
NH,03754,202502
NH,03755,202502
NH,03756,202502
NH,03765,202502
NH,03766,202502
NH,03768,202502
NH,03769,202502
NH,03770,202502
NH,03771,202502
NH,03773,202502
NH,03774,202502
NH,03777,202502
NH,03779,202502
NH,03780,202502
NH,03781,202502
NH,03782,202502
NH,03784,202502
NH,03785,202502
NH,03809,202502
NH,03810,202502
NH,03812,202502
NH,03813,202502
NH,03814,202502
NH,03816,202502
NH,03817,202502
NH,03818,202502
NH,03830,202502
NH,03832,202502
NH,03836,202502
NH,03837,202502
NH,03838,202502
NH,03845,202502
NH,03846,202502
NH,03847,202502
NH,03849,202502
NH,03850,202502
NH,03853,202502
NH,03860,202502
NH,03864,202502
NH,03872,202502
NH,03875,202502
NH,03882,202502
NH,03883,202502
NH,03886,202502
NH,03890,202502
NH,03894,202502
NH,03896,202502
NH,03897,202502
ME,04010,202502
ME,04016,202502
ME,04022,202502
ME,04037,202502
ME,04041,202502
ME,04051,202502
ME,04068,202502
ME,04088,202502
ME,04216,202502
ME,04217,202502
ME,04219,202502
ME,04220,202502
ME,04221,202502
ME,04224,202502
ME,04225,202502
ME,04226,202502
ME,04227,202502
ME,04231,202502
ME,04234,202502
ME,04237,202502
ME,04238,202502
ME,04239,202502
ME,04255,202502
ME,04257,202502
ME,04259,202502
ME,04261,202502
ME,04262,202502
ME,04265,202502
ME,04267,202502
ME,04268,202502
ME,04270,202502
ME,04271,202502
ME,04275,202502
ME,04276,202502
ME,04281,202502
ME,04284,202502
ME,04285,202502
ME,04286,202502
ME,04289,202502
ME,04290,202502
ME,04292,202502
ME,04294,202502
ME,04330,202502
ME,04332,202502
ME,04333,202502
ME,04336,202502
ME,04338,202502
ME,04341,202502
ME,04342,202502
ME,04343,202502
ME,04344,202502
ME,04345,202502
ME,04346,202502
ME,04347,202502
ME,04348,202502
ME,04349,202502
ME,04350,202502
ME,04351,202502
ME,04352,202502
ME,04353,202502
ME,04354,202502
ME,04355,202502
ME,04358,202502
ME,04359,202502
ME,04360,202502
ME,04363,202502
ME,04364,202502
ME,04406,202502
ME,04408,202502
ME,04413,202502
ME,04414,202502
ME,04415,202502
ME,04416,202502
ME,04420,202502
ME,04421,202502
ME,04424,202502
ME,04426,202502
ME,04431,202502
ME,04438,202502
ME,04441,202502
ME,04442,202502
ME,04443,202502
ME,04451,202502
ME,04454,202502
ME,04462,202502
ME,04463,202502
ME,04464,202502
ME,04471,202502
ME,04472,202502
ME,04476,202502
ME,04478,202502
ME,04479,202502
ME,04481,202502
ME,04485,202502
ME,04490,202502
ME,04491,202502
ME,04492,202502
ME,04496,202502
ME,04497,202502
ME,04535,202502
ME,04537,202502
ME,04538,202502
ME,04539,202502
ME,04541,202502
ME,04543,202502
ME,04544,202502
ME,04547,202502
ME,04549,202502
ME,04551,202502
ME,04553,202502
ME,04554,202502
ME,04555,202502
ME,04556,202502
ME,04558,202502
ME,04563,202502
ME,04564,202502
ME,04568,202502
ME,04570,202502
ME,04571,202502
ME,04572,202502
ME,04573,202502
ME,04574,202502
ME,04575,202502
ME,04576,202502
ME,04578,202502
ME,04605,202502
ME,04606,202502
ME,04607,202502
ME,04609,202502
ME,04611,202502
ME,04612,202502
ME,04613,202502
ME,04614,202502
ME,04616,202502
ME,04617,202502
ME,04619,202502
ME,04622,202502
ME,04623,202502
ME,04624,202502
ME,04625,202502
ME,04626,202502
ME,04627,202502
ME,04628,202502
ME,04629,202502
ME,04630,202502
ME,04631,202502
ME,04634,202502
ME,04635,202502
ME,04637,202502
ME,04640,202502
ME,04642,202502
ME,04643,202502
ME,04644,202502
ME,04645,202502
ME,04646,202502
ME,04648,202502
ME,04649,202502
ME,04650,202502
ME,04652,202502
ME,04653,202502
ME,04654,202502
ME,04655,202502
ME,04657,202502
ME,04658,202502
ME,04660,202502
ME,04662,202502
ME,04664,202502
ME,04666,202502
ME,04667,202502
ME,04668,202502
ME,04669,202502
ME,04671,202502
ME,04672,202502
ME,04673,202502
ME,04674,202502
ME,04675,202502
ME,04676,202502
ME,04677,202502
ME,04679,202502
ME,04680,202502
ME,04681,202502
ME,04683,202502
ME,04684,202502
ME,04685,202502
ME,04686,202502
ME,04691,202502
ME,04693,202502
ME,04694,202502
ME,04730,202502
ME,04732,202502
ME,04733,202502
ME,04734,202502
ME,04735,202502
ME,04736,202502
ME,04737,202502
ME,04738,202502
ME,04739,202502
ME,04740,202502
ME,04741,202502
ME,04742,202502
ME,04743,202502
ME,04744,202502
ME,04745,202502
ME,04746,202502
ME,04747,202502
ME,04750,202502
ME,04751,202502
ME,04756,202502
ME,04757,202502
ME,04758,202502
ME,04760,202502
ME,04761,202502
ME,04762,202502
ME,04763,202502
ME,04764,202502
ME,04766,202502
ME,04768,202502
ME,04769,202502
ME,04772,202502
ME,04773,202502
ME,04774,202502
ME,04775,202502
ME,04776,202502
ME,04779,202502
ME,04780,202502
ME,04781,202502
ME,04783,202502
ME,04785,202502
ME,04786,202502
ME,04787,202502
ME,04841,202502
ME,04843,202502
ME,04847,202502
ME,04848,202502
ME,04849,202502
ME,04850,202502
ME,04851,202502
ME,04852,202502
ME,04853,202502
ME,04854,202502
ME,04855,202502
ME,04856,202502
ME,04858,202502
ME,04859,202502
ME,04860,202502
ME,04861,202502
ME,04862,202502
ME,04863,202502
ME,04864,202502
ME,04865,202502
ME,04901,202502
ME,04903,202502
ME,04910,202502
ME,04911,202502
ME,04912,202502
ME,04915,202502
ME,04917,202502
ME,04918,202502
ME,04920,202502
ME,04921,202502
ME,04922,202502
ME,04923,202502
ME,04924,202502
ME,04925,202502
ME,04926,202502
ME,04927,202502
ME,04929,202502
ME,04935,202502
ME,04936,202502
ME,04937,202502
ME,04938,202502
ME,04940,202502
ME,04941,202502
ME,04942,202502
ME,04943,202502
ME,04944,202502
ME,04945,202502
ME,04947,202502
ME,04949,202502
ME,04950,202502
ME,04951,202502
ME,04952,202502
ME,04954,202502
ME,04955,202502
ME,04956,202502
ME,04957,202502
ME,04958,202502
ME,04961,202502
ME,04962,202502
ME,04963,202502
ME,04964,202502
ME,04965,202502
ME,04966,202502
ME,04967,202502
ME,04970,202502
ME,04971,202502
ME,04972,202502
ME,04973,202502
ME,04974,202502
ME,04975,202502
ME,04976,202502
ME,04978,202502
ME,04979,202502
ME,04981,202502
ME,04982,202502
ME,04983,202502
ME,04984,202502
ME,04985,202502
ME,04986,202502
ME,04987,202502
ME,04988,202502
ME,04989,202502
ME,04992,202502
VT,05001,202502
VT,05009,202502
VT,05030,202502
VT,05031,202502
VT,05032,202502
VT,05033,202502
VT,05034,202502
VT,05035,202502
VT,05036,202502
VT,05037,202502
VT,05038,202502
VT,05039,202502
VT,05040,202502
VT,05041,202502
VT,05042,202502
VT,05043,202502
VT,05045,202502
VT,05046,202502
VT,05047,202502
VT,05048,202502
VT,05049,202502
VT,05050,202502
VT,05051,202502
VT,05052,202502
VT,05053,202502
VT,05054,202502
VT,05055,202502
VT,05056,202502
VT,05058,202502
VT,05059,202502
VT,05060,202502
VT,05061,202502
VT,05062,202502
VT,05065,202502
VT,05067,202502
VT,05068,202502
VT,05069,202502
VT,05070,202502
VT,05071,202502
VT,05072,202502
VT,05073,202502
VT,05074,202502
VT,05075,202502
VT,05076,202502
VT,05077,202502
VT,05079,202502
VT,05081,202502
VT,05083,202502
VT,05084,202502
VT,05085,202502
VT,05086,202502
VT,05088,202502
VT,05089,202502
VT,05091,202502
VT,05101,202502
VT,05141,202502
VT,05142,202502
VT,05143,202502
VT,05146,202502
VT,05148,202502
VT,05149,202502
VT,05150,202502
VT,05151,202502
VT,05152,202502
VT,05153,202502
VT,05154,202502
VT,05155,202502
VT,05156,202502
VT,05158,202502
VT,05159,202502
VT,05161,202502
VT,05201,202502
VT,05250,202502
VT,05251,202502
VT,05252,202502
VT,05253,202502
VT,05254,202502
VT,05255,202502
VT,05257,202502
VT,05260,202502
VT,05261,202502
VT,05262,202502
VT,05301,202502
VT,05302,202502
VT,05303,202502
VT,05304,202502
VT,05340,202502
VT,05341,202502
VT,05342,202502
VT,05343,202502
VT,05344,202502
VT,05345,202502
VT,05346,202502
VT,05350,202502
VT,05351,202502
VT,05352,202502
VT,05353,202502
VT,05354,202502
VT,05355,202502
VT,05356,202502
VT,05357,202502
VT,05358,202502
VT,05359,202502
VT,05360,202502
VT,05361,202502
VT,05362,202502
VT,05363,202502
VT,05442,202502
VT,05443,202502
VT,05456,202502
VT,05464,202502
VT,05469,202502
VT,05472,202502
VT,05473,202502
VT,05487,202502
VT,05491,202502
VT,05492,202502
VT,05601,202502
VT,05602,202502
VT,05603,202502
VT,05604,202502
VT,05609,202502
VT,05620,202502
VT,05633,202502
VT,05640,202502
VT,05641,202502
VT,05647,202502
VT,05648,202502
VT,05649,202502
VT,05650,202502
VT,05651,202502
VT,05652,202502
VT,05653,202502
VT,05654,202502
VT,05655,202502
VT,05656,202502
VT,05657,202502
VT,05658,202502
VT,05660,202502
VT,05661,202502
VT,05662,202502
VT,05663,202502
VT,05664,202502
VT,05665,202502
VT,05666,202502
VT,05667,202502
VT,05669,202502
VT,05670,202502
VT,05671,202502
VT,05672,202502
VT,05673,202502
VT,05674,202502
VT,05675,202502
VT,05676,202502
VT,05677,202502
VT,05678,202502
VT,05679,202502
VT,05680,202502
VT,05681,202502
VT,05682,202502
VT,05701,202502
VT,05702,202502
VT,05730,202502
VT,05731,202502
VT,05732,202502
VT,05733,202502
VT,05734,202502
VT,05735,202502
VT,05736,202502
VT,05737,202502
VT,05738,202502
VT,05739,202502
VT,05740,202502
VT,05741,202502
VT,05742,202502
VT,05743,202502
VT,05744,202502
VT,05745,202502
VT,05746,202502
VT,05747,202502
VT,05748,202502
VT,05750,202502
VT,05751,202502
VT,05753,202502
VT,05757,202502
VT,05758,202502
VT,05759,202502
VT,05760,202502
VT,05761,202502
VT,05762,202502
VT,05763,202502
VT,05764,202502
VT,05765,202502
VT,05766,202502
VT,05767,202502
VT,05768,202502
VT,05769,202502
VT,05770,202502
VT,05772,202502
VT,05773,202502
VT,05774,202502
VT,05775,202502
VT,05776,202502
VT,05777,202502
VT,05778,202502
VT,05819,202502
VT,05820,202502
VT,05821,202502
VT,05822,202502
VT,05823,202502
VT,05824,202502
VT,05825,202502
VT,05826,202502
VT,05827,202502
VT,05828,202502
VT,05829,202502
VT,05830,202502
VT,05832,202502
VT,05833,202502
VT,05836,202502
VT,05837,202502
VT,05838,202502
VT,05839,202502
VT,05840,202502
VT,05841,202502
VT,05842,202502
VT,05843,202502
VT,05845,202502
VT,05846,202502
VT,05847,202502
VT,05848,202502
VT,05849,202502
VT,05850,202502
VT,05851,202502
VT,05853,202502
VT,05855,202502
VT,05857,202502
VT,05858,202502
VT,05859,202502
VT,05860,202502
VT,05861,202502
VT,05862,202502
VT,05863,202502
VT,05866,202502
VT,05867,202502
VT,05868,202502
VT,05871,202502
VT,05872,202502
VT,05873,202502
VT,05874,202502
VT,05875,202502
VT,05901,202502
VT,05902,202502
VT,05903,202502
VT,05904,202502
VT,05905,202502
VT,05906,202502
VT,05907,202502
CT,06018,202502
CT,06021,202502
CT,06024,202502
CT,06031,202502
CT,06039,202502
CT,06057,202502
CT,06058,202502
CT,06061,202502
CT,06063,202502
CT,06065,202502
CT,06068,202502
CT,06069,202502
CT,06079,202502
CT,06094,202502
CT,06098,202502
CT,06230,202502
CT,06233,202502
CT,06234,202502
CT,06235,202502
CT,06239,202502
CT,06241,202502
CT,06242,202502
CT,06243,202502
CT,06244,202502
CT,06245,202502
CT,06246,202502
CT,06247,202502
CT,06255,202502
CT,06258,202502
CT,06259,202502
CT,06260,202502
CT,06262,202502
CT,06263,202502
CT,06264,202502
CT,06267,202502
CT,06277,202502
CT,06278,202502
CT,06281,202502
CT,06282,202502
CT,06331,202502
CT,06332,202502
CT,06354,202502
CT,06373,202502
CT,06374,202502
CT,06377,202502
CT,06384,202502
CT,06387,202502
CT,06750,202502
CT,06752,202502
CT,06753,202502
CT,06754,202502
CT,06755,202502
CT,06756,202502
CT,06757,202502
CT,06758,202502
CT,06759,202502
CT,06763,202502
CT,06776,202502
CT,06777,202502
CT,06778,202502
CT,06783,202502
CT,06785,202502
CT,06790,202502
CT,06791,202502
CT,06792,202502
CT,06793,202502
CT,06794,202502
CT,06796,202502
NY,10985,202502
NY,12010,202502
NY,12015,202502
NY,12016,202502
NY,12017,202502
NY,12025,202502
NY,12029,202502
NY,12032,202502
NY,12037,202502
NY,12042,202502
NY,12050,202502
NY,12051,202502
NY,12058,202502
NY,12060,202502
NY,12064,202502
NY,12068,202502
NY,12069,202502
NY,12070,202502
NY,12072,202502
NY,12075,202502
NY,12078,202502
NY,12083,202502
NY,12086,202502
NY,12087,202502
NY,12095,202502
NY,12106,202502
NY,12108,202502
NY,12115,202502
NY,12116,202502
NY,12117,202502
NY,12124,202502
NY,12125,202502
NY,12130,202502
NY,12132,202502
NY,12134,202502
NY,12136,202502
NY,12139,202502
NY,12155,202502
NY,12164,202502
NY,12165,202502
NY,12166,202502
NY,12167,202502
NY,12172,202502
NY,12173,202502
NY,12174,202502
NY,12176,202502
NY,12177,202502
NY,12184,202502
NY,12190,202502
NY,12192,202502
NY,12195,202502
NY,12197,202502
NY,12405,202502
NY,12407,202502
NY,12413,202502
NY,12414,202502
NY,12418,202502
NY,12421,202502
NY,12422,202502
NY,12423,202502
NY,12424,202502
NY,12427,202502
NY,12430,202502
NY,12431,202502
NY,12434,202502
NY,12436,202502
NY,12438,202502
NY,12439,202502
NY,12442,202502
NY,12444,202502
NY,12450,202502
NY,12451,202502
NY,12452,202502
NY,12454,202502
NY,12455,202502
NY,12459,202502
NY,12460,202502
NY,12463,202502
NY,12468,202502
NY,12470,202502
NY,12473,202502
NY,12474,202502
NY,12482,202502
NY,12485,202502
NY,12492,202502
NY,12496,202502
NY,12502,202502
NY,12503,202502
NY,12513,202502
NY,12516,202502
NY,12517,202502
NY,12521,202502
NY,12523,202502
NY,12526,202502
NY,12529,202502
NY,12530,202502
NY,12534,202502
NY,12541,202502
NY,12544,202502
NY,12565,202502
NY,12701,202502
NY,12719,202502
NY,12720,202502
NY,12721,202502
NY,12722,202502
NY,12723,202502
NY,12724,202502
NY,12725,202502
NY,12726,202502
NY,12727,202502
NY,12732,202502
NY,12733,202502
NY,12734,202502
NY,12736,202502
NY,12737,202502
NY,12738,202502
NY,12740,202502
NY,12741,202502
NY,12742,202502
NY,12743,202502
NY,12745,202502
NY,12747,202502
NY,12748,202502
NY,12749,202502
NY,12750,202502
NY,12751,202502
NY,12752,202502
NY,12754,202502
NY,12758,202502
NY,12759,202502
NY,12760,202502
NY,12762,202502
NY,12763,202502
NY,12764,202502
NY,12765,202502
NY,12766,202502
NY,12767,202502
NY,12768,202502
NY,12769,202502
NY,12770,202502
NY,12775,202502
NY,12776,202502
