STATE	DMEPOS RURAL ZIP CODE	YEAR/QTR
MA	01223	202504
MA	02535	202504
MA	02539	202504
MA	02552	202504
MA	02554	202504
MA	02557	202504
MA	02564	202504
MA	02568	202504
MA	02575	202504
MA	02584	202504
MA	02713	202504
NH	03046	202504
NH	03106	202504
NH	03215	202504
NH	03216	202504
NH	03217	202504
NH	03218	202504
NH	03220	202504
NH	03221	202504
NH	03222	202504
NH	03223	202504
NH	03224	202504
NH	03225	202504
NH	03226	202504
NH	03227	202504
NH	03229	202504
NH	03230	202504
NH	03231	202504
NH	03233	202504
NH	03234	202504
NH	03235	202504
NH	03237	202504
NH	03238	202504
NH	03240	202504
NH	03241	202504
NH	03242	202504
NH	03243	202504
NH	03245	202504
NH	03246	202504
NH	03247	202504
NH	03249	202504
NH	03251	202504
NH	03252	202504
NH	03253	202504
NH	03254	202504
NH	03255	202504
NH	03256	202504
NH	03257	202504
NH	03258	202504
NH	03259	202504
NH	03260	202504
NH	03262	202504
NH	03263	202504
NH	03264	202504
NH	03266	202504
NH	03268	202504
NH	03269	202504
NH	03272	202504
NH	03273	202504
NH	03275	202504
NH	03276	202504
NH	03278	202504
NH	03279	202504
NH	03280	202504
NH	03282	202504
NH	03284	202504
NH	03285	202504
NH	03287	202504
NH	03289	202504
NH	03293	202504
NH	03298	202504
NH	03299	202504
NH	03301	202504
NH	03302	202504
NH	03303	202504
NH	03304	202504
NH	03305	202504
NH	03307	202504
NH	03431	202504
NH	03435	202504
NH	03441	202504
NH	03443	202504
NH	03444	202504
NH	03445	202504
NH	03446	202504
NH	03447	202504
NH	03448	202504
NH	03450	202504
NH	03451	202504
NH	03452	202504
NH	03455	202504
NH	03456	202504
NH	03457	202504
NH	03461	202504
NH	03462	202504
NH	03464	202504
NH	03465	202504
NH	03466	202504
NH	03467	202504
NH	03469	202504
NH	03470	202504
NH	03561	202504
NH	03570	202504
NH	03574	202504
NH	03575	202504
NH	03576	202504
NH	03579	202504
NH	03580	202504
NH	03581	202504
NH	03582	202504
NH	03583	202504
NH	03584	202504
NH	03585	202504
NH	03586	202504
NH	03588	202504
NH	03589	202504
NH	03590	202504
NH	03592	202504
NH	03593	202504
NH	03595	202504
NH	03597	202504
NH	03598	202504
NH	03601	202504
NH	03602	202504
NH	03603	202504
NH	03604	202504
NH	03605	202504
NH	03607	202504
NH	03608	202504
NH	03609	202504
NH	03740	202504
NH	03741	202504
NH	03743	202504
NH	03745	202504
NH	03746	202504
NH	03748	202504
NH	03749	202504
NH	03750	202504
NH	03751	202504
NH	03752	202504
NH	03753	202504
NH	03754	202504
NH	03755	202504
NH	03756	202504
NH	03765	202504
NH	03766	202504
NH	03768	202504
NH	03769	202504
NH	03770	202504
NH	03771	202504
NH	03773	202504
NH	03774	202504
NH	03777	202504
NH	03779	202504
NH	03780	202504
NH	03781	202504
NH	03782	202504
NH	03784	202504
NH	03785	202504
NH	03809	202504
NH	03810	202504
NH	03812	202504
NH	03813	202504
NH	03814	202504
NH	03816	202504
NH	03817	202504
NH	03818	202504
NH	03830	202504
NH	03832	202504
NH	03836	202504
NH	03837	202504
NH	03838	202504
NH	03845	202504
NH	03846	202504
NH	03847	202504
NH	03849	202504
NH	03850	202504
NH	03853	202504
NH	03860	202504
NH	03864	202504
NH	03872	202504
NH	03875	202504
NH	03882	202504
NH	03883	202504
NH	03886	202504
NH	03890	202504
NH	03894	202504
NH	03896	202504
NH	03897	202504
ME	04010	202504
ME	04016	202504
ME	04022	202504
ME	04037	202504
ME	04041	202504
ME	04051	202504
ME	04068	202504
ME	04088	202504
ME	04216	202504
ME	04217	202504
ME	04219	202504
ME	04220	202504
ME	04221	202504
ME	04224	202504
ME	04225	202504
ME	04226	202504
ME	04227	202504
ME	04231	202504
ME	04234	202504
ME	04237	202504
ME	04238	202504
ME	04239	202504
ME	04255	202504
ME	04257	202504
ME	04259	202504
ME	04261	202504
ME	04262	202504
ME	04265	202504
ME	04267	202504
ME	04268	202504
ME	04270	202504
ME	04271	202504
ME	04275	202504
ME	04276	202504
ME	04281	202504
ME	04284	202504
ME	04285	202504
ME	04286	202504
ME	04289	202504
ME	04290	202504
ME	04292	202504
ME	04294	202504
ME	04330	202504
ME	04332	202504
ME	04333	202504
ME	04336	202504
ME	04338	202504
ME	04341	202504
ME	04342	202504
ME	04343	202504
ME	04344	202504
ME	04345	202504
ME	04346	202504
ME	04347	202504
ME	04348	202504
ME	04349	202504
ME	04350	202504
ME	04351	202504
ME	04352	202504
ME	04353	202504
ME	04354	202504
ME	04355	202504
ME	04358	202504
ME	04359	202504
ME	04360	202504
ME	04363	202504
ME	04364	202504
ME	04406	202504
ME	04408	202504
ME	04413	202504
ME	04414	202504
ME	04415	202504
ME	04416	202504
ME	04420	202504
ME	04421	202504
ME	04424	202504
ME	04426	202504
ME	04431	202504
ME	04438	202504
ME	04441	202504
ME	04442	202504
ME	04443	202504
ME	04451	202504
ME	04454	202504
ME	04462	202504
ME	04463	202504
ME	04464	202504
ME	04471	202504
ME	04472	202504
ME	04476	202504
ME	04478	202504
ME	04479	202504
ME	04481	202504
ME	04485	202504
ME	04490	202504
ME	04491	202504
ME	04492	202504
ME	04496	202504
ME	04497	202504
ME	04535	202504
ME	04537	202504
ME	04538	202504
ME	04539	202504
ME	04541	202504
ME	04543	202504
ME	04544	202504
ME	04547	202504
ME	04549	202504
ME	04551	202504
ME	04553	202504
ME	04554	202504
ME	04555	202504
ME	04556	202504
ME	04558	202504
ME	04563	202504
ME	04564	202504
ME	04568	202504
ME	04570	202504
ME	04571	202504
ME	04572	202504
ME	04573	202504
ME	04574	202504
ME	04575	202504
ME	04576	202504
ME	04578	202504
ME	04605	202504
ME	04606	202504
ME	04607	202504
ME	04609	202504
ME	04611	202504
ME	04612	202504
ME	04613	202504
ME	04614	202504
ME	04616	202504
ME	04617	202504
ME	04619	202504
ME	04622	202504
ME	04623	202504
ME	04624	202504
ME	04625	202504
ME	04626	202504
ME	04627	202504
ME	04628	202504
ME	04629	202504
ME	04630	202504
ME	04631	202504
ME	04634	202504
ME	04635	202504
ME	04637	202504
ME	04640	202504
ME	04642	202504
ME	04643	202504
ME	04644	202504
ME	04645	202504
ME	04646	202504
ME	04648	202504
ME	04649	202504
ME	04650	202504
ME	04652	202504
ME	04653	202504
ME	04654	202504
ME	04655	202504
ME	04657	202504
ME	04658	202504
ME	04660	202504
ME	04662	202504
ME	04664	202504
ME	04666	202504
ME	04667	202504
ME	04668	202504
ME	04669	202504
ME	04671	202504
ME	04672	202504
ME	04673	202504
ME	04674	202504
ME	04675	202504
ME	04676	202504
ME	04677	202504
ME	04679	202504
ME	04680	202504
ME	04681	202504
ME	04683	202504
ME	04684	202504
ME	04685	202504
ME	04686	202504
ME	04691	202504
ME	04693	202504
ME	04694	202504
ME	04730	202504
ME	04732	202504
ME	04733	202504
ME	04734	202504
ME	04735	202504
ME	04736	202504
ME	04737	202504
ME	04738	202504
ME	04739	202504
ME	04740	202504
ME	04741	202504
ME	04742	202504
ME	04743	202504
ME	04744	202504
ME	04745	202504
ME	04746	202504
ME	04747	202504
ME	04750	202504
ME	04751	202504
ME	04756	202504
ME	04757	202504
ME	04758	202504
ME	04760	202504
ME	04761	202504
ME	04762	202504
ME	04763	202504
ME	04764	202504
ME	04766	202504
ME	04768	202504
ME	04769	202504
ME	04772	202504
ME	04773	202504
ME	04774	202504
ME	04775	202504
ME	04776	202504
ME	04779	202504
ME	04780	202504
ME	04781	202504
ME	04783	202504
ME	04785	202504
ME	04786	202504
ME	04787	202504
ME	04841	202504
ME	04843	202504
ME	04847	202504
ME	04848	202504
ME	04849	202504
ME	04850	202504
ME	04851	202504
ME	04852	202504
ME	04853	202504
ME	04854	202504
ME	04855	202504
ME	04856	202504
ME	04858	202504
ME	04859	202504
ME	04860	202504
ME	04861	202504
ME	04862	202504
ME	04863	202504
ME	04864	202504
ME	04865	202504
ME	04901	202504
ME	04903	202504
ME	04910	202504
ME	04911	202504
ME	04912	202504
ME	04915	202504
ME	04917	202504
ME	04918	202504
ME	04920	202504
ME	04921	202504
ME	04922	202504
ME	04923	202504
ME	04924	202504
ME	04925	202504
ME	04926	202504
ME	04927	202504
ME	04929	202504
ME	04935	202504
ME	04936	202504
ME	04937	202504
ME	04938	202504
ME	04940	202504
ME	04941	202504
ME	04942	202504
ME	04943	202504
ME	04944	202504
ME	04945	202504
ME	04947	202504
ME	04949	202504
ME	04950	202504
ME	04951	202504
ME	04952	202504
ME	04954	202504
ME	04955	202504
ME	04956	202504
ME	04957	202504
ME	04958	202504
ME	04961	202504
ME	04962	202504
ME	04963	202504
ME	04964	202504
ME	04965	202504
ME	04966	202504
ME	04967	202504
ME	04970	202504
ME	04971	202504
ME	04972	202504
ME	04973	202504
ME	04974	202504
ME	04975	202504
ME	04976	202504
ME	04978	202504
ME	04979	202504
ME	04981	202504
ME	04982	202504
ME	04983	202504
ME	04984	202504
ME	04985	202504
ME	04986	202504
ME	04987	202504
ME	04988	202504
ME	04989	202504
ME	04992	202504
VT	05001	202504
VT	05009	202504
VT	05030	202504
VT	05031	202504
VT	05032	202504
VT	05033	202504
VT	05034	202504
VT	05035	202504
VT	05036	202504
VT	05037	202504
VT	05038	202504
VT	05039	202504
VT	05040	202504
VT	05041	202504
VT	05042	202504
VT	05043	202504
VT	05045	202504
VT	05046	202504
VT	05047	202504
VT	05048	202504
VT	05049	202504
VT	05050	202504
VT	05051	202504
VT	05052	202504
VT	05053	202504
VT	05054	202504
VT	05055	202504
VT	05056	202504
VT	05058	202504
VT	05059	202504
VT	05060	202504
VT	05061	202504
VT	05062	202504
VT	05065	202504
VT	05067	202504
VT	05068	202504
VT	05069	202504
VT	05070	202504
VT	05071	202504
VT	05072	202504
VT	05073	202504
VT	05074	202504
VT	05075	202504
VT	05076	202504
VT	05077	202504
VT	05079	202504
VT	05081	202504
VT	05083	202504
VT	05084	202504
VT	05085	202504
VT	05086	202504
VT	05088	202504
VT	05089	202504
VT	05091	202504
VT	05101	202504
VT	05141	202504
VT	05142	202504
VT	05143	202504
VT	05146	202504
VT	05148	202504
VT	05149	202504
VT	05150	202504
VT	05151	202504
VT	05152	202504
VT	05153	202504
VT	05154	202504
VT	05155	202504
VT	05156	202504
VT	05158	202504
VT	05159	202504
VT	05161	202504
VT	05201	202504
VT	05250	202504
VT	05251	202504
VT	05252	202504
VT	05253	202504
VT	05254	202504
VT	05255	202504
VT	05257	202504
VT	05260	202504
VT	05261	202504
VT	05262	202504
VT	05301	202504
VT	05302	202504
VT	05303	202504
VT	05304	202504
VT	05340	202504
VT	05341	202504
VT	05342	202504
VT	05343	202504
VT	05344	202504
VT	05345	202504
VT	05346	202504
VT	05350	202504
VT	05351	202504
VT	05352	202504
VT	05353	202504
VT	05354	202504
VT	05355	202504
VT	05356	202504
VT	05357	202504
VT	05358	202504
VT	05359	202504
VT	05360	202504
VT	05361	202504
VT	05362	202504
VT	05363	202504
VT	05442	202504
VT	05443	202504
VT	05456	202504
VT	05464	202504
VT	05469	202504
VT	05472	202504
VT	05473	202504
VT	05487	202504
VT	05491	202504
VT	05492	202504
VT	05601	202504
VT	05602	202504
VT	05603	202504
VT	05604	202504
VT	05609	202504
VT	05620	202504
VT	05633	202504
VT	05640	202504
VT	05641	202504
VT	05647	202504
VT	05648	202504
VT	05649	202504
VT	05650	202504
VT	05651	202504
VT	05652	202504
VT	05653	202504
VT	05654	202504
VT	05655	202504
VT	05656	202504
VT	05657	202504
VT	05658	202504
VT	05660	202504
VT	05661	202504
VT	05662	202504
VT	05663	202504
VT	05664	202504
VT	05665	202504
VT	05666	202504
VT	05667	202504
VT	05669	202504
