STATE,DMEPOS RURAL ZIP CODE,YEAR/QTR
MA,01223,202601
MA,02535,202601
MA,02539,202601
MA,02552,202601
MA,02554,202601
MA,02557,202601
MA,02564,202601
MA,02568,202601
MA,02575,202601
MA,02584,202601
MA,02713,202601
NH,03046,202601
NH,03106,202601
NH,03215,202601
NH,03216,202601
NH,03217,202601
NH,03218,202601
NH,03220,202601
NH,03221,202601
NH,03222,202601
NH,03223,202601
NH,03224,202601
NH,03225,202601
NH,03226,202601
NH,03227,202601
NH,03229,202601
NH,03230,202601
NH,03231,202601
NH,03233,202601
NH,03234,202601
NH,03235,202601
NH,03237,202601
NH,03238,202601
NH,03240,202601
NH,03241,202601
NH,03242,202601
NH,03243,202601
NH,03245,202601
NH,03246,202601
NH,03247,202601
NH,03249,202601
NH,03251,202601
NH,03252,202601
NH,03253,202601
NH,03254,202601
NH,03255,202601
NH,03256,202601
NH,03257,202601
NH,03258,202601
NH,03259,202601
NH,03260,202601
NH,03262,202601
NH,03263,202601
NH,03264,202601
NH,03266,202601
NH,03268,202601
NH,03269,202601
NH,03272,202601
NH,03273,202601
NH,03275,202601
NH,03276,202601
NH,03278,202601
NH,03279,202601
NH,03280,202601
NH,03282,202601
NH,03284,202601
NH,03285,202601
NH,03287,202601
NH,03289,202601
NH,03293,202601
NH,03298,202601
NH,03299,202601
NH,03301,202601
NH,03302,202601
NH,03303,202601
NH,03304,202601
NH,03305,202601
NH,03307,202601
NH,03431,202601
NH,03435,202601
NH,03441,202601
NH,03443,202601
NH,03444,202601
NH,03445,202601
NH,03446,202601
NH,03447,202601
NH,03448,202601
NH,03450,202601
NH,03451,202601
NH,03452,202601
NH,03455,202601
NH,03456,202601
NH,03457,202601
NH,03461,202601
NH,03462,202601
NH,03464,202601
NH,03465,202601
NH,03466,202601
NH,03467,202601
NH,03469,202601
NH,03470,202601
NH,03561,202601
NH,03570,202601
NH,03574,202601
NH,03575,202601
NH,03576,202601
NH,03579,202601
NH,03580,202601
NH,03581,202601
NH,03582,202601
NH,03583,202601
NH,03584,202601
NH,03585,202601
NH,03586,202601
NH,03588,202601
NH,03589,202601
NH,03590,202601
NH,03592,202601
NH,03593,202601
NH,03595,202601
NH,03597,202601
NH,03598,202601
NH,03601,202601
NH,03602,202601
NH,03603,202601
NH,03604,202601
NH,03605,202601
NH,03607,202601
NH,03608,202601
NH,03609,202601
NH,03740,202601
NH,03741,202601
NH,03743,202601
NH,03745,202601
NH,03746,202601
NH,03748,202601
NH,03749,202601
NH,03750,202601
NH,03751,202601
NH,03752,202601
NH,03753,202601
NH,03754,202601
NH,03755,202601
NH,03756,202601
NH,03765,202601
NH,03766,202601
NH,03768,202601
NH,03769,202601
NH,03770,202601
NH,03771,202601
NH,03773,202601
NH,03774,202601
NH,03777,202601
NH,03779,202601
NH,03780,202601
NH,03781,202601
NH,03782,202601
NH,03784,202601
NH,03785,202601
NH,03809,202601
NH,03810,202601
NH,03812,202601
NH,03813,202601
NH,03814,202601
NH,03816,202601
NH,03817,202601
NH,03818,202601
NH,03830,202601
NH,03832,202601
NH,03836,202601
NH,03837,202601
NH,03838,202601
NH,03845,202601
NH,03846,202601
NH,03847,202601
NH,03849,202601
NH,03850,202601
NH,03853,202601
NH,03860,202601
NH,03864,202601
NH,03872,202601
NH,03875,202601
NH,03882,202601
NH,03883,202601
NH,03886,202601
NH,03890,202601
NH,03894,202601
NH,03896,202601
NH,03897,202601
ME,04010,202601
ME,04016,202601
ME,04022,202601
ME,04037,202601
ME,04041,202601
ME,04051,202601
ME,04068,202601
ME,04088,202601
ME,04216,202601
ME,04217,202601
ME,04219,202601
ME,04220,202601
ME,04221,202601
ME,04224,202601
ME,04225,202601
ME,04226,202601
ME,04227,202601
ME,04231,202601
ME,04234,202601
ME,04237,202601
ME,04238,202601
ME,04239,202601
ME,04255,202601
ME,04257,202601
ME,04259,202601
ME,04261,202601
ME,04262,202601
ME,04265,202601
ME,04267,202601
ME,04268,202601
ME,04270,202601
ME,04271,202601
ME,04275,202601
ME,04276,202601
ME,04281,202601
ME,04284,202601
ME,04285,202601
ME,04286,202601
ME,04289,202601
ME,04290,202601
ME,04292,202601
ME,04294,202601
ME,04330,202601
ME,04332,202601
