2026 Parenteral and Enteral Nutrition Items and Services (PEN) Fee Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*** Non-contiguous areas ***,,,,
January 2026 Fee Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCPCS,MOD,MOD2,AL(NR),AL(R),AR(NR),AR(R),AZ(NR),AZ(R),CA(NR),CA(R),CO(NR),CO(R),CT(NR),CT(R),DC(NR),DC(R),DE(NR),DE(R),FL(NR),FL(R),GA(NR),GA(R),IA(NR),IA(R),ID(NR),ID(R),IL(NR),IL(R),IN(NR),IN(R),KS(NR),KS(R),KY(NR),KY(R),LA(NR),LA(R),MA(NR),MA(R),MD(NR),MD(R),ME(NR),ME(R),MI(NR),MI(R),MN(NR),MN(R),MO(NR),MO(R),MS(NR),MS(R),MT(NR),MT(R),NC(NR),NC(R),ND(NR),ND(R),NE(NR),NE(R),NH(NR),NH(R),NJ(NR),NJ(R),NM(NR),NM(R),NV(NR),NV(R),NY(NR),NY(R),OH(NR),OH(R),OK(NR),OK(R),OR(NR),OR(R),PA(NR),PA(R),RI(NR),RI(R),SC(NR),SC(R),SD(NR),SD(R),TN(NR),TN(R),TX(NR),TX(R),UT(NR),UT(R),VA(NR),VA(R),VT(NR),VT(R),WA(NR),WA(R),WI(NR),WI(R),WV(NR),WV(R),WY(NR),WY(R),AK(NR),AK(R),HI(NR),HI(R),PR(NR),PR(R),VI(NR),VI(R),Desc
B4034,,,3.94,6.16,3.94,6.16,3.87,6.16,3.83,6.16,4.02,6.16,3.94,6.16,3.84,6.16,3.84,6.16,3.94,6.16,3.94,6.16,3.86,6.16,4.02,6.16,3.85,6.16,3.85,6.16,3.86,6.16,3.94,6.16,3.94,6.16,3.94,6.16,3.84,6.16,3.94,6.16,3.85,6.16,3.86,6.16,3.86,6.16,3.94,6.16,4.02,6.16,3.94,6.16,3.86,6.16,3.86,6.16,3.94,6.16,3.84,6.16,3.87,6.16,3.83,6.16,3.84,6.16,3.85,6.16,3.87,6.16,3.83,6.16,3.84,6.16,3.94,6.16,3.94,6.16,3.86,6.16,3.94,6.16,3.87,6.16,4.02,6.16,3.94,6.16,3.94,6.16,3.83,6.16,3.85,6.16,3.94,6.16,4.02,6.16,6.16,0,6.16,0,6.16,0,6.16,0,Enter feed supkit syr by day
B4035,,,7.09,11.38,7.09,11.38,6.63,11.38,6.5,11.38,7.14,11.38,6.29,11.38,6.21,11.38,6.21,11.38,7.09,11.38,7.09,11.38,6.86,11.38,7.14,11.38,6.79,11.38,6.79,11.38,6.86,11.38,7.09,11.38,7.09,11.38,6.29,11.38,6.21,11.38,6.29,11.38,6.79,11.38,6.86,11.38,6.86,11.38,7.09,11.38,7.14,11.38,7.09,11.38,6.86,11.38,6.86,11.38,6.29,11.38,6.21,11.38,6.63,11.38,6.5,11.38,6.21,11.38,6.79,11.38,6.63,11.38,6.5,11.38,6.21,11.38,6.29,11.38,7.09,11.38,6.86,11.38,7.09,11.38,6.63,11.38,7.14,11.38,7.09,11.38,6.29,11.38,6.5,11.38,6.79,11.38,7.09,11.38,7.14,11.38,11.71,0,11.71,0,11.71,0,11.71,0,Enteral feed supp pump per d
B4036,,,5.45,8.2,5.45,8.2,5.21,8.2,5.22,8.2,5.39,8.2,5.39,8.2,5.23,8.2,5.23,8.2,5.45,8.2,5.45,8.2,5.3,8.2,5.39,8.2,5.26,8.2,5.26,8.2,5.3,8.2,5.45,8.2,5.45,8.2,5.39,8.2,5.23,8.2,5.39,8.2,5.26,8.2,5.3,8.2,5.3,8.2,5.45,8.2,5.39,8.2,5.45,8.2,5.3,8.2,5.3,8.2,5.39,8.2,5.23,8.2,5.21,8.2,5.22,8.2,5.23,8.2,5.26,8.2,5.21,8.2,5.22,8.2,5.23,8.2,5.39,8.2,5.45,8.2,5.3,8.2,5.45,8.2,5.21,8.2,5.39,8.2,5.45,8.2,5.39,8.2,5.22,8.2,5.26,8.2,5.45,8.2,5.39,8.2,8.24,0,8.24,0,8.24,0,8.24,0,Enteral feed sup kit grav by
B4081,,,19.24,24.99,19.24,24.99,18.99,24.99,20.14,24.99,19.66,24.99,20.22,24.99,20.4,24.99,20.4,24.99,19.24,24.99,19.24,24.99,19.02,24.99,19.66,24.99,19.3,24.99,19.3,24.99,19.02,24.99,19.24,24.99,19.24,24.99,20.22,24.99,20.4,24.99,20.22,24.99,19.3,24.99,19.02,24.99,19.02,24.99,19.24,24.99,19.66,24.99,19.24,24.99,19.02,24.99,19.02,24.99,20.22,24.99,20.4,24.99,18.99,24.99,20.14,24.99,20.4,24.99,19.3,24.99,18.99,24.99,20.14,24.99,20.4,24.99,20.22,24.99,19.24,24.99,19.02,24.99,19.24,24.99,18.99,24.99,19.66,24.99,19.24,24.99,20.22,24.99,20.14,24.99,19.3,24.99,19.24,24.99,19.66,24.99,24.99,0,24.99,0,24.99,0,24.99,0,Enteral ng tubing w/ stylet
B4082,,,14.08,18.28,14.08,18.28,13.42,18.28,14.2,18.28,13.96,18.28,14.04,18.28,14.56,18.28,14.56,18.28,14.08,18.28,14.08,18.28,14,18.28,13.96,18.28,13.61,18.28,13.61,18.28,14,18.28,14.08,18.28,14.08,18.28,14.04,18.28,14.56,18.28,14.04,18.28,13.61,18.28,14,18.28,14,18.28,14.08,18.28,13.96,18.28,14.08,18.28,14,18.28,14,18.28,14.04,18.28,14.56,18.28,13.42,18.28,14.2,18.28,14.56,18.28,13.61,18.28,13.42,18.28,14.2,18.28,14.56,18.28,14.04,18.28,14.08,18.28,14,18.28,14.08,18.28,13.42,18.28,13.96,18.28,14.08,18.28,14.04,18.28,14.2,18.28,13.61,18.28,14.08,18.28,13.96,18.28,18.28,0,18.28,0,18.28,0,18.28,0,Enteral ng tubing w/o stylet
B4083,,,2.11,2.78,2.11,2.78,2.07,2.78,2.08,2.78,2.18,2.78,2.05,2.78,2.18,2.78,2.18,2.78,2.11,2.78,2.11,2.78,2.05,2.78,2.18,2.78,2.01,2.78,2.01,2.78,2.05,2.78,2.11,2.78,2.11,2.78,2.05,2.78,2.18,2.78,2.05,2.78,2.01,2.78,2.05,2.78,2.05,2.78,2.11,2.78,2.18,2.78,2.11,2.78,2.05,2.78,2.05,2.78,2.05,2.78,2.18,2.78,2.07,2.78,2.08,2.78,2.18,2.78,2.01,2.78,2.07,2.78,2.08,2.78,2.18,2.78,2.05,2.78,2.11,2.78,2.05,2.78,2.11,2.78,2.07,2.78,2.18,2.78,2.11,2.78,2.05,2.78,2.08,2.78,2.01,2.78,2.11,2.78,2.18,2.78,2.78,0,2.78,0,2.78,0,2.78,0,Enteral stomach tube levine
B4087,,,33.31,42.3,33.31,42.3,33.9,42.3,37.64,42.3,36.1,42.3,36.79,42.3,32.32,42.3,32.32,42.3,33.31,42.3,33.31,42.3,32.28,42.3,36.1,42.3,33.63,42.3,33.63,42.3,32.28,42.3,33.31,42.3,33.31,42.3,36.79,42.3,32.32,42.3,36.79,42.3,33.63,42.3,32.28,42.3,32.28,42.3,33.31,42.3,36.1,42.3,33.31,42.3,32.28,42.3,32.28,42.3,36.79,42.3,32.32,42.3,33.9,42.3,37.64,42.3,32.32,42.3,33.63,42.3,33.9,42.3,37.64,42.3,32.32,42.3,36.79,42.3,33.31,42.3,32.28,42.3,33.31,42.3,33.9,42.3,36.1,42.3,33.31,42.3,36.79,42.3,37.64,42.3,33.63,42.3,33.31,42.3,36.1,42.3,42.3,0,42.3,0,42.3,0,42.3,0,"Gastro/jejuno tube, std"
B4088,,,38.03,45.49,38.03,45.49,39.8,45.49,42.59,45.49,43.59,45.49,44.03,45.49,38.57,45.49,38.57,45.49,38.03,45.49,38.03,45.49,37.96,45.49,43.59,45.49,38.81,45.49,38.81,45.49,37.96,45.49,38.03,45.49,38.03,45.49,44.03,45.49,38.57,45.49,44.03,45.49,38.81,45.49,37.96,45.49,37.96,45.49,38.03,45.49,43.59,45.49,38.03,45.49,37.96,45.49,37.96,45.49,44.03,45.49,38.57,45.49,39.8,45.49,42.59,45.49,38.57,45.49,38.81,45.49,39.8,45.49,42.59,45.49,38.57,45.49,44.03,45.49,38.03,45.49,37.96,45.49,38.03,45.49,39.8,45.49,43.59,45.49,38.03,45.49,44.03,45.49,42.59,45.49,38.81,45.49,38.03,45.49,43.59,45.49,46.82,0,46.82,0,46.82,0,46.82,0,"Gastro/jejuno tube, low-pro"
B4148,,,7.54,12.06,7.54,12.06,7.06,12.06,6.93,12.06,7.57,12.06,6.71,12.06,6.62,12.06,6.62,12.06,7.54,12.06,7.54,12.06,7.29,12.06,7.57,12.06,7.22,12.06,7.22,12.06,7.29,12.06,7.54,12.06,7.54,12.06,6.71,12.06,6.62,12.06,6.71,12.06,7.22,12.06,7.29,12.06,7.29,12.06,7.54,12.06,7.57,12.06,7.54,12.06,7.29,12.06,7.29,12.06,6.71,12.06,6.62,12.06,7.06,12.06,6.93,12.06,6.62,12.06,7.22,12.06,7.06,12.06,6.93,12.06,6.62,12.06,6.71,12.06,7.54,12.06,7.29,12.06,7.54,12.06,7.06,12.06,7.57,12.06,7.54,12.06,6.71,12.06,6.93,12.06,7.22,12.06,7.54,12.06,7.57,12.06,12.4,0,12.4,0,12.4,0,12.4,0,Enteral feed supp pump per d
B4149,,,1.3,1.74,1.3,1.74,1.28,1.74,1.33,1.74,1.31,1.74,1.28,1.74,1.27,1.74,1.27,1.74,1.3,1.74,1.3,1.74,1.28,1.74,1.31,1.74,1.26,1.74,1.26,1.74,1.28,1.74,1.3,1.74,1.3,1.74,1.28,1.74,1.27,1.74,1.28,1.74,1.26,1.74,1.28,1.74,1.28,1.74,1.3,1.74,1.31,1.74,1.3,1.74,1.28,1.74,1.28,1.74,1.28,1.74,1.27,1.74,1.28,1.74,1.33,1.74,1.27,1.74,1.26,1.74,1.28,1.74,1.33,1.74,1.27,1.74,1.28,1.74,1.3,1.74,1.28,1.74,1.3,1.74,1.28,1.74,1.31,1.74,1.3,1.74,1.28,1.74,1.33,1.74,1.26,1.74,1.3,1.74,1.31,1.74,1.74,0,1.74,0,1.74,0,1.74,0,Ef blenderized foods
